filepath,labels
./dataset/train/label0/0001.wav,0
./dataset/train/label6/0037.wav,6
./dataset/train/label0/0032.wav,0
./dataset/train/label3/0007.wav,3
./dataset/train/label2/0002.wav,2
./dataset/train/label4/0048.wav,4
./dataset/train/label2/0024.wav,2
./dataset/train/label1/0027.wav,1
./dataset/train/label3/0039.wav,3
./dataset/train/label5/0047.wav,5
./dataset/train/label6/0006.wav,6
./dataset/train/label5/0023.wav,5
./dataset/train/label3/0019.wav,3
./dataset/train/label2/0043.wav,2
./dataset/train/label3/0021.wav,3
./dataset/train/label6/0001.wav,6
./dataset/train/label3/0030.wav,3
./dataset/train/label4/0040.wav,4
./dataset/train/label0/0023.wav,0
./dataset/train/label3/0045.wav,3
./dataset/train/label4/0021.wav,4
./dataset/train/label5/0014.wav,5
./dataset/train/label3/0023.wav,3
./dataset/train/label4/0012.wav,4
./dataset/train/label5/0042.wav,5
./dataset/train/label6/0013.wav,6
./dataset/train/label0/0020.wav,0
./dataset/train/label3/0042.wav,3
./dataset/train/label4/0042.wav,4
./dataset/train/label4/0007.wav,4
./dataset/train/label4/0050.wav,4
./dataset/train/label0/0002.wav,0
./dataset/train/label4/0036.wav,4
./dataset/train/label1/0008.wav,1
./dataset/train/label4/0038.wav,4
./dataset/train/label4/0032.wav,4
./dataset/train/label4/0047.wav,4
./dataset/train/label4/0018.wav,4
./dataset/train/label4/0004.wav,4
./dataset/train/label3/0026.wav,3
./dataset/train/label3/0018.wav,3
./dataset/train/label4/0023.wav,4
./dataset/train/label1/0024.wav,1
./dataset/train/label5/0025.wav,5
./dataset/train/label5/0018.wav,5
./dataset/train/label2/0036.wav,2
./dataset/train/label6/0036.wav,6
./dataset/train/label3/0047.wav,3
./dataset/train/label6/0033.wav,6
./dataset/train/label1/0032.wav,1
./dataset/train/label0/0017.wav,0
./dataset/train/label4/0011.wav,4
./dataset/train/label2/0014.wav,2
./dataset/train/label1/0015.wav,1
./dataset/train/label3/0028.wav,3
./dataset/train/label5/0015.wav,5
./dataset/train/label0/0031.wav,0
./dataset/train/label1/0011.wav,1
./dataset/train/label6/0028.wav,6
./dataset/train/label2/0008.wav,2
./dataset/train/label6/0034.wav,6
./dataset/train/label1/0042.wav,1
./dataset/train/label0/0026.wav,0
./dataset/train/label6/0047.wav,6
./dataset/train/label2/0035.wav,2
./dataset/train/label4/0030.wav,4
./dataset/train/label4/0013.wav,4
./dataset/train/label4/0035.wav,4
./dataset/train/label4/0003.wav,4
./dataset/train/label4/0044.wav,4
./dataset/train/label0/0029.wav,0
./dataset/train/label6/0017.wav,6
./dataset/train/label3/0044.wav,3
./dataset/train/label4/0020.wav,4
./dataset/train/label1/0038.wav,1
./dataset/train/label6/0045.wav,6
./dataset/train/label4/0029.wav,4
./dataset/train/label6/0024.wav,6
./dataset/train/label2/0005.wav,2
./dataset/train/label2/0037.wav,2
./dataset/train/label2/0048.wav,2
./dataset/train/label2/0006.wav,2
./dataset/train/label2/0032.wav,2
./dataset/train/label6/0025.wav,6
./dataset/train/label5/0016.wav,5
./dataset/train/label5/0044.wav,5
./dataset/train/label6/0022.wav,6
./dataset/train/label5/0049.wav,5
./dataset/train/label0/0019.wav,0
./dataset/train/label2/0027.wav,2
./dataset/train/label5/0028.wav,5
./dataset/train/label5/0034.wav,5
./dataset/train/label5/0008.wav,5
./dataset/train/label5/0019.wav,5
./dataset/train/label0/0009.wav,0
./dataset/train/label0/0005.wav,0
./dataset/train/label6/0035.wav,6
./dataset/train/label6/0026.wav,6
./dataset/train/label1/0025.wav,1
./dataset/train/label3/0001.wav,3
./dataset/train/label1/0031.wav,1
./dataset/train/label1/0047.wav,1
./dataset/train/label1/0036.wav,1
./dataset/train/label6/0014.wav,6
./dataset/train/label3/0036.wav,3
./dataset/train/label3/0014.wav,3
./dataset/train/label3/0029.wav,3
./dataset/train/label1/0002.wav,1
./dataset/train/label5/0027.wav,5
./dataset/train/label2/0049.wav,2
./dataset/train/label1/0009.wav,1
./dataset/train/label3/0033.wav,3
./dataset/train/label3/0041.wav,3
./dataset/train/label5/0050.wav,5
./dataset/train/label4/0046.wav,4
./dataset/train/label6/0005.wav,6
./dataset/train/label5/0039.wav,5
./dataset/train/label1/0005.wav,1
./dataset/train/label5/0022.wav,5
./dataset/train/label2/0028.wav,2
./dataset/train/label2/0017.wav,2
./dataset/train/label4/0034.wav,4
./dataset/train/label4/0001.wav,4
./dataset/train/label5/0020.wav,5
./dataset/train/label0/0033.wav,0
./dataset/train/label4/0049.wav,4
