text,labels
any of the grandparents [laughter-would] [laughter-we] [laughter-feel] [laughter-they're] [laughter-gonna] [laughter-be] [laughter-a] [laughter-good] [laughter] they're gonna,1
and they have sold a house that was quite expensive and bought one you know,1
uh Got it,0
ten or twelve years old and they call in and they review movies but it's,1
hmm Totally,0
that'd be culturally [laughter-shocking],1
huh You're right,0
burning and everything else,1
totally Right,0
and they did aw[ay]- w[ent]- t[o]- we[nt]- finally did away with them_1 and went to,1
definitely Of course,0
definitely Sounds good,0
"Wait, I just thought of something related to this resolve",1
wow Oh wow,0
totally.,0
sure Good point,0
Let me interrupt you there and clarify one thing making,1
well i um run a business out of my home,1
hope they're telling you [laughter],0
yes he's,1
hm.,0
very,1
you know,0
oh absolutely,0
exactly.,0
that's interesting are th[ere]- are there any other specific things that that you feel like,1
[laughter] well you know he was uh,0
uh Oh my god,0
May I interrupt for a moment to respond to that,1
"Can I just say, I heard something else",1
"Actually, this needs clarification",1
yes.,0
mm-hm.,0
huh Alright then,0
mhm.,0
no they did away with it because they found out that uh,1
oh i do too much and it's just gonna get better it really is,1
and and and i guess that's what i really like although i must admit i,1
oh yeah that's neat,0
true Makes sense,0
"Actually, I have a different opinion on that to how",1
yeah oh,0
indeed Oh my god,0
fourteen years that's pretty good well thank you and well um you g[ood]- good luck,1
"Sorry, but I have to disagree with that point that",1
I got you.,0
and you're gonna think well wait now [noise] where's the other eighteen thousand dollars or,1
you know perhaps if we put money on the back burner that may that may,1
um-hum i also hm thought about it because_1 i was uh waiting to talk to,1
looked like antlers i don't know [noise],1
sure Makes sense,0
Let me interrupt you there and clarify one thing we,1
"Can I just say, that’s not how I see it",1
and invariably just about the time i'm going to sleep the phone tears off the,1
air pollution,1
pardon me,1
we camped at the let's see we camped down at at Galveston two or three,1
[laughter-do] [laughter-you] believe that,1
yeah.,0
I see.,0
I see,0
indeed Good point,0
sure Alright,0
yeah well then you know about that wind,0
exactly exactly right,0
uh-huh yeah,0
Let me interrupt you there and clarify one thing from,1
Exactly,0
May I interrupt for a moment to respond to that,1
What if we consider it from another angle because because,1
i think that's the problem with most of it the politicians finally did away with,1
"Just a second, can I add something quickly another another",1
that [vocalized-noise],0
i think it was the Black Hills of South Dakota,1
go on.,0
pluses and minuses because_1 uh those that,1
[laughter] yeah Marge i don't know what happened to your husband he just never came,1
true No doubt,0
What if we consider it from another angle decision should,1
yeah i've never had any uh,0
"Wait, I just thought of something related to this and",1
totally Interesting,0
yeah.,0
wow Absolutely,0
uh-huh.,0
or not yeah,0
Let me interrupt you there and clarify one thing should,1
yeah that,0
"I want to add, I heard something else",1
uh-huh.,0
What if we consider it from another angle think decision,1
yeah that's all i have to say thank you,0
have you seen Dancing with Wolf,1
the Sherman facility we are still in the,1
things that invade that second type of privacy,1
"Sorry, but I have to disagree with that point from",1
"Sorry but I have a point, it happened differently",1
What if we consider it from another angle this way,1
"Wait, I just thought of something related to this the",1
I think what you're saying is not entirely correct because,1
wow Okay,0
What if we consider it from another angle think decision,1
wow I know,0
mm-hm.,0
not really i think i mean it's kind of unwritten but i think we're supposed,1
sure.,0
wow Good point,0
uh the question is did he did he really know it was gonna be good,1
"Hold on, let me jump in for a second and",1
wow No doubt,0
i think your right,1
oh yeah they do they get real emotional about it all the i've worked with,1
uh Alright,0
"Actually, I have a different opinion on that making to",1
sure Right,0
May I interrupt for a moment to respond to that,1
"Oh, I see",0
huh I agree,0
yep that's exactly right,0
got it.,0
oh okay,0
"Sorry, but I have to disagree with that point this",1
huh Interesting,0
"Just a second, can I add something quickly a we",1
mm-hm.,0
I see.,0
right.,0
"I think it's important to note, we need a different approach",1
"Sorry but I have a point, that's only partially true",1
sure Sounds good,0
not much,1
definitely So true,0
uh well,0
most states have it i know and i've lived in states that have had it,1
all right are you ready now okay like i said i guess it would be,1
yes.,0
"Sorry but I have a point, we’re missing the key part",1
all right,0
alright.,0
oh [laughter],0
mm-hm.,0
ah.,0
true Makes sense,0
than just delegate it i think that they they had a great deal of um,1
totally Got it,0
I think what you're saying is not entirely correct because,1
"In my opinion, you might be mistaken here",1
uh You're right,0
um-hum um-hum,0
so my immediate reaction was one of that sense of invasion but after that i,1
yeah.,0
when it was really just starting yeah,0
i've never even bought a gun myself my dad's given it to me or someone's,1
wow Got it,0
"Sorry, but I have to disagree with that point because",1
oh yes,0
i can take that for granted but i used to i used to live in,1
"Hold on, let me jump in for a second it",1
sure No doubt,0
uh on the scale they gave one to ten i'd say i'm probably a four,1
"Actually, we should consider another option",1
sure.,0
sounds good.,0
i see right,0
what do you think about it equalization of funding,1
"Hold on, let me jump in for a second and",1
yeah i imagine it's really competitive,0
wow yeah,0
i see,0
indeed Right,0
"I think it's important to note, you might be mistaken here",1
"I disagree because, this doesn't sound right",1
yes yes,1
May I interrupt for a moment to respond to that,1
definitely No doubt,0
wow Totally,0
indeed I agree,0
that's true and and i think also that um the women actually have uh uh,1
okay yes,0
uh-huh uh-huh,0
May I interrupt for a moment to respond to that,1
"Wait, I just thought of something related to this we",1
uh Good point,0
uh-huh.,0
"Actually, that’s not how I see it",1
"Oh, You're right",0
uh that uh scrub out the NOX and uh VOCs and and the ammonia compounds,1
May I interrupt for a moment to respond to that,1
"Just a second, can I add something quickly about before",1
so well uh,0
or uh,0
uh-huh.,0
uh which is a matter of uh,1
yeah small PCs aren't they're out of Korea right,0
um-hum yeah,0
that's right um-hum,0
I got you.,0
understood.,0
oh okay,0
yeah it's uh having uh uh w[ell]- well i work in too i work in,1
"Sorry, but I have to disagree with that point another",1
and um that was pretty heartrending for her i think when she finally came to,1
wow So true,0
yeah it's,0
What if we consider it from another angle way making,1
totally Alright,0
definitely Yeah,0
uh i see what you mean so that,0
oh uh-huh,0
yeah i,0
huh I hear you,0
yeah those are few and far between though,0
"Sorry to cut you off, we’re missing the key part",1
yeah right,0
"Just a second, can I add something quickly a way",1
indeed Oh wow,0
i guess we've discussed everything there is about clothing [laughter] okay okay it was nice,1
totally Good point,0
yeah a lot of times you can do that,0
go on.,0
indeed Great,0
"Before you go on, we need a different approach",1
[laughter-so] [laughter-i],0
you kn[ow]- [laughter] and i and i don['t]- i don't really trust these these government,1
"then, Alright",0
"Actually, we’ve already discussed that",1
I think what you're saying is not entirely correct because,1
uh I hear you,0
right.,0
sounds good.,0
Fair enough,0
What if we consider it from another angle resolve we,1
and uh we can't deep well inject something like that because it's a solid and,1
go on.,0
and they've really um well i mean i i wonder how people have sex and,1
hmm Alright,0
uh-huh.,0
exactly.,0
"Just a second, can I add something quickly from think",1
yeah well my uh my uh probably one of the biggest decisions i think that,1
he wanted to direct it he wanted to a[ct]- to star in it you know,1
you know is there something else we could have done you know in checking out,1
[noise] and um gosh it was about_1 nine o'clock at night too it wasn't even,1
and there were some pretty big dunes before the the camping area and the sand,1
um-hum hum,0
oh.,0
ugh [laughter],0
sounds good.,0
indeed Sure,0
my mother excuse me go ahead,1
pardon me,1
yeah well children aren't easily entertained by just enjoying the nature,1
it with the,1
"Actually, I have a different opinion on that resolve that",1
okay.,0
I think what you're saying is not entirely correct because,1
"Let me jump in, we need to pause and think",1
I see.,0
I think what you're saying is not entirely correct because,1
oh my gosh,0
that's the only way that i can see it's gonna be resolved is there are,1
oh wow,0
i think that i think he did a good job and and the self-satisfaction he,1
some of them are crazy too [laughter] whew yeah yeah they go out there and,1
uh i'm familiar with that one,0
i mean when i was in college i did a lot of teaching uh for,1
but then for the last several years it's pretty well stabilized uh and perhaps even,1
okay.,0
definitely So true,0
um-hum wh[ich]- which seems so awful,0
mhm.,0
sure.,0
"Actually, I have a different opinion on that the maybe",1
you talked about the telephone calls people coming and soliciting selling things at the door,1
Let me interrupt you there and clarify one thing another,1
well it's been nice talking to you,1
right.,0
yeah yeah,0
i have some friends that go camping for a couple of weeks every summer they're,1
oh i can't either not a one,1
yeah well i don't have that [laughter] a lot of times if i've got a,1
I think what you're saying is not entirely correct because,1
sounds good.,0
right right,0
"That’s not what I meant, this needs clarification",1
"That’s not what I meant, you might be mistaken here",1
yeah right and uh,0
because the the system is setup where it won't have any emissions uh you're correct,1
"Just a second, can I add something quickly maybe decision",1
"Sorry to cut you off, that's only partially true",1
definitely Exactly,0
wow Fair enough,0
mm-hm.,0
true I hear you,0
i've often wondered now this is years ago and i've often wondered what they ever,1
to catch this Freon as it is ex[pelled]- expelled the excess Freon,1
uh well actually you know that is the way a refrigerator works,1
sure Totally,0
"Actually, I have a different opinion on that should and",1
hm yeah yeah,0
uh-huh [noise],0
huh uh-huh,0
I don’t think that’s how it works think before about,1
go on.,0
pinks and greens yeah,0
uh No doubt,0
that really uh,0
I don’t think that’s how it works how and maybe,1
neither have i,1
my mother also was very very independent she had her own still had her own,1
"Sorry, but I have to disagree with that point think",1
go on.,0
I don’t think that’s how it works another before before,1
yeah i've seen that that's uh that was a really good movie probably one of,1
indeed True,0
go on.,0
i let's see,1
indeed Uh yeah,0
definitely Oh my god,0
I don’t think that’s how it works think way way,1
"Just a second, can I add something quickly because resolve",1
[laughter] yeah,0
"Wait, I just thought of something related to this that",1
hmm Absolutely,0
hello,1
yeah was it,0
oh [laughter-jeez],0
uh you had to have your car checked for pollution every year you had to,1
so can you dress pretty casually,1
I see.,0
a harassment in itself,1
[noise] yeah they didn't uh survive the freeze,0
I agree,0
service stations are going to require to have a special device,1
hm.,0
"In my opinion, I heard something else",1
uh Washington DC um-hum,0
um-hum yes oh it is,0
yeah.,0
hmm I see,0
uh yes,0
yeah what uh,0
yes and yet even at that it was still contaminated,1
totally.,0
you know,0
"Sorry, but I have to disagree with that point that",1
wow Of course,0
sure I agree,0
yeah i i haven't touched chicken since,0
par[t]-,1
and a lot of their rules and regulations aren't real clear so we have our,1
[laughter] yeah [noise],0
[laughter-well] um,0
Let me interrupt you there and clarify one thing making,1
uh-huh.,0
oh yeah,0
"Wait, I just thought of something related to this the",1
"Sorry to cut you off, this needs clarification",1
uh-huh.,0
uh Got it,0
the way people are being laid off right and left it's all a matter of,1
understood.,0
"Actually, I have a different opinion on that it another",1
oh yeah,0
"I think it's important to note, this part is confusing",1
Texas and uh,0
mhm.,0
"I think it's important to note, we should consider another option",1
"Hold on, we need to pause and think",1
the action over the rocks and all that kind of stuff,1
oh.,0
uh-huh.,0
true I agree,0
oh.,0
definitely Makes sense,0
yeah that's one of the big throwing cards for,0
"Before you go on, that’s not how I see it",1
oh no i think yeah my son's just in day care but even that they,1
"it, Got",0
"Hold on, we need a different approach",1
"Let’s not forget, we need to pause and think",1
mhm.,0
i don't know liquefy right and then his injector things got clogged and oh Go[d]-,1
"Hold on, let me jump in for a second a",1
okay um well i've lived in the in the Dallas and Richardson area for about,1
"Can I just say, it happened differently",1
uh Okay,0
and uh fortunately we agreed you know on exactly you know what we thought should,1
uh-huh [laughter],0
sure True,0
wow I see,0
"Sorry, but I have to disagree with that point a",1
huh Makes sense,0
definitely Good point,0
[laughter] yeah,0
you know,0
totally I got you,0
um if your defining it in terms of information gone even if it's something you,1
yeah they might be or you know how we are here in Texas it's [laughter-like],1
exactly.,0
"I want to add, it happened differently",1
i- i don't kn[ow]- i don't know what the rain forests have to do with,1
yeah [laughter],0
that's about that as far as any other everyday occurrences,1
well i guess without a doubt we'd have to say automobiles although i suppose manufacturing,1
typical thing that happens uh when the phone rang and it's TI calling my immediate,1
oh.,0
huh Oh wow,0
yeah i i i think cars are probably one of the biggest offenders but then,1
oh.,0
yeah there there was one site that they cleaned up and then the new place,1
huh I agree,0
but but no concept for wanting to be private,1
indeed Makes sense,0
"Sorry but I have a point, we’ve already discussed that",1
so just distribute it equally and not raise taxes,1
totally You're right,0
mm-hm.,0
get that cash advance uh-huh,0
uh-huh.,0
"Let’s not forget, we’ve already discussed that",1
mhm.,0
yeah you know it's it's interesting that that a lot of the population in the,1
well you too and uh [noise],0
"That’s not what I meant, we’ve already discussed that",1
i'm on my turf if i want them there i'll call for them_1 otherwise i,1
[noise] i know i i think that there's some areas in you know in uh,1
Let me interrupt you there and clarify one thing that,1
"Oh, I know",0
"I have to interrupt, we should consider another option",1
uh they used to do it down in Florida now i lived down there for,1
did you,1
you know and uh,0
um true,0
"Wait, I just thought of something related to this maybe",1
I don’t think that’s how it works before about way,1
go on.,0
"Just a second, can I add something quickly it the",1
I know,0
and so w[hat]- w[hat]- you know what we do to make contributions so that basically,1
yeah it's,0
sure You bet,0
a little piece of trivia you know the guy when he first headed out from,1
oh well that's good,0
hmm Good point,0
oh.,0
"Let’s not forget, this doesn't sound right",1
i don't care [laughter],0
totally.,0
uh yeah currently,0
about_1 catching some disease,1
"Sorry, but I have to disagree with that point that",1
and uh it's usually not a very smooth smooth thing we were uh l[ucky]- [vocalized-noise],1
oh okay i'm not that much familiar with Texas we've been my family has been,1
uh twenty dollars a year or whatever but it would cut back twenty million dollars,1
mm-hm.,0
"Actually, I have a different opinion on that the that",1
yeah yeah,0
mm-hm.,0
and a lot of my children are from poor,1
Lewisville okay i'm in Garland um have you read anything about how they propose to,1
Let me interrupt you there and clarify one thing making,1
totally.,0
totally Right,0
so i tend to get up in the morning put on sweats um do whatever,1
hmm Absolutely,0
Let me interrupt you there and clarify one thing making,1
hmm Interesting,0
I got you.,0
true Right,0
wow I got you,0
uh No doubt,0
true Cool,0
true Alright,0
wow I know,0
May I interrupt for a moment to respond to that,1
wow Got it,0
sure Oh wow,0
"Hold on, we’re missing the key part",1
no it didn't,1
"Wait, I just thought of something related to this this",1
true I agree,0
comes yeah,0
oh yeah,0
oh yeah,0
exactly.,0
come home and get back into regular clothes [laughter-again],1
[noise] well that pretty much covers [laughter-the] [laughter-subject] [laughter] well thanks for calling me,1
ok[ay]- okay okay okay bye-bye,0
pretty much yeah yeah,0
even had some of them_1 the,1
yeah.,0
yes.,0
that's great,1
really you know,0
oh gosh,0
May I interrupt for a moment to respond to that,1
yeah yeah,0
May I interrupt for a moment to respond to that,1
sounds good.,0
got it.,0
May I interrupt for a moment to respond to that,1
is that right,0
okay thank you you too,1
[laughter-yeah] [laughter] not lately though [laughter],0
"Actually, it happened differently",1
oh yeah see you just,0
true Good point,0
true I see,0
ooh neat,0
yeah real scruffy looking and it wa[s]- it was really funny it's uh that that,1
and you know they're not making that much money they're making probably more like five,1
oh i see,0
"Hold on, let me jump in for a second think",1
"enough, Fair",0
um yeah,0
huh That's right,0
What if we consider it from another angle because and,1
could be i- i haven't been to South Dakota,1
totally So true,0
Interesting.,0
uh permits you know for that place and that there's you know limits as to,1
i well that's a good point where you said that how does one define what,1
the people that were doing it it was just a racket to them,1
expenditures because_1 it can get very expensive but i think we you know we do,1
I think what you're saying is not entirely correct because,1
yeah yeah,0
[noise] um [noise],0
indeed True,0
"Actually, I have a different opinion on that because before",1
indeed You bet,0
true Absolutely,0
definitely Totally,0
right.,0
"Hold on, let me jump in for a second it",1
[noise] i do too especially as women get up in management and and can be,1
indeed I know,0
I don’t think that’s how it works think should about,1
uh the lowest temperature that it gets here,0
but it's uh,0
[noise] it's,1
oh yeah,0
and i think that when she passed away it was probably one of the greatest,1
huh Makes sense,0
are economically disadvantaged won't have the ability to make a [laughter-choice] the choice will be,1
then all of a sudden you turn around and,1
yeah i think a great strides are being made nowadays in in caring for the,1
indeed So true,0
totally Alright then,0
"Hold on, let me jump in for a second decision",1
"In my opinion, this needs clarification",1
no you can uh,0
What if we consider it from another angle a think,1
no that's true,1
where are you,1
yeah that's true,0
"Actually, I have a different opinion on that this that",1
oh that that's a remarkable number i get them rarely and i'm still astounded that,1
yeah that's what he's talking about doing now,0
hm.,0
right.,0
but speaking of cars [noise] what more can we do to cars to make them_1,1
and uh they used the same pistons and and cylinders and whatnot but all they,1
yeah i had a friend of mine had a uh had a Buick had had,1
the qua[lity]- but actually have a truer standard of living,1
oh my [laughter] uh-huh,0
yeah okay bye [noise],0
oh okay,0
there's this invisible barrier around me which people will re[spect]- will respect and if that's,1
i see,0
no i've uh,0
huh Yeah,0
of course of course,0
yeah twenty one,0
uh s[ix]- eight months ago i guess,0
yeah yeah,0
hmm Oh wow,0
and then i would feel not only invaded in the sense that someone had obtained,1
What if we consider it from another angle we resolve,1
oh yeah it'll be comfortable,0
hmm Alright then,0
definitely I see,0
um and seaso[n]- really same season to season um uh it changes with the weather,1
uh-huh yep yep,0
I don’t think that’s how it works resolve that resolve,1
yeah.,0
I think what you're saying is not entirely correct because,1
wow Makes sense,0
uh i don't because uh,0
um-hum um-hum,0
definitely No doubt,0
right.,0
sure I know,0
"doubt, No",0
hmm I see,0
alright.,0
you know i can remember as a child uh,0
"I have to interrupt, that’s not how I see it",1
definitely I hear you,0
sure I see,0
