text,labels
hm.,0
"Actually, I have a different opinion on that the way",1
yeah.,0
What if we consider it from another angle maybe resolve,1
I think what you're saying is not entirely correct because,1
go on.,0
sounds good.,0
sure.,0
hm.,0
got it.,0
"Wait, I just thought of something related to this the",1
"Hold on, let me jump in for a second it",1
mm-hm.,0
uh-huh.,0
"Just a second, can I add something quickly about how",1
"Wait, I just thought of something related to this it",1
exactly.,0
okay.,0
ah.,0
oh.,0
uh-huh.,0
okay.,0
"Sorry, but I have to disagree with that point this",1
alright.,0
Let me interrupt you there and clarify one thing should,1
mhm.,0
I think what you're saying is not entirely correct because,1
I think what you're saying is not entirely correct because,1
What if we consider it from another angle this think,1
mhm.,0
I think what you're saying is not entirely correct because,1
oh.,0
I think what you're saying is not entirely correct because,1
"Wait, I just thought of something related to this about",1
May I interrupt for a moment to respond to that,1
mm-hm.,0
sure.,0
sure.,0
May I interrupt for a moment to respond to that,1
"Sorry, but I have to disagree with that point another",1
Let me interrupt you there and clarify one thing from,1
oh.,0
"Just a second, can I add something quickly and about",1
got it.,0
I don’t think that’s how it works think before about,1
"Wait, I just thought of something related to this making",1
I got you.,0
sure.,0
hm.,0
I think what you're saying is not entirely correct because,1
totally.,0
Let me interrupt you there and clarify one thing should,1
yes.,0
oh.,0
mhm.,0
I got you.,0
May I interrupt for a moment to respond to that,1
I got you.,0
"Wait, I just thought of something related to this maybe",1
What if we consider it from another angle resolve we,1
Let me interrupt you there and clarify one thing way,1
got it.,0
"Actually, I have a different opinion on that resolve before",1
Let me interrupt you there and clarify one thing before,1
What if we consider it from another angle think resolve,1
hm.,0
"Sorry, but I have to disagree with that point think",1
got it.,0
understood.,0
sure.,0
I see.,0
May I interrupt for a moment to respond to that,1
"Actually, I have a different opinion on that making to",1
uh-huh.,0
go on.,0
I don’t think that’s how it works to another and,1
"Actually, I have a different opinion on that maybe making",1
hm.,0
sure.,0
alright.,0
"Just a second, can I add something quickly to another",1
oh.,0
sounds good.,0
I got you.,0
"Wait, I just thought of something related to this maybe",1
got it.,0
May I interrupt for a moment to respond to that,1
right.,0
"Hold on, let me jump in for a second about",1
"Hold on, let me jump in for a second another",1
go on.,0
I think what you're saying is not entirely correct because,1
"Actually, I have a different opinion on that before maybe",1
I got you.,0
sounds good.,0
hm.,0
oh.,0
"Actually, I have a different opinion on that to how",1
uh-huh.,0
I see.,0
uh-huh.,0
"Just a second, can I add something quickly maybe that",1
I don’t think that’s how it works about a making,1
uh-huh.,0
What if we consider it from another angle way making,1
right.,0
sure.,0
mm-hm.,0
"Wait, I just thought of something related to this maybe",1
May I interrupt for a moment to respond to that,1
Let me interrupt you there and clarify one thing because,1
uh-huh.,0
"Hold on, let me jump in for a second it",1
alright.,0
yeah.,0
"Actually, I have a different opinion on that how because",1
yeah.,0
yes.,0
ah.,0
May I interrupt for a moment to respond to that,1
sounds good.,0
I don’t think that’s how it works to way to,1
alright.,0
"Wait, I just thought of something related to this from",1
"Sorry, but I have to disagree with that point it",1
"Hold on, let me jump in for a second how",1
exactly.,0
I think what you're saying is not entirely correct because,1
sounds good.,0
sure.,0
"Wait, I just thought of something related to this this",1
"Wait, I just thought of something related to this a",1
"Sorry, but I have to disagree with that point way",1
"Wait, I just thought of something related to this we",1
I got you.,0
"Wait, I just thought of something related to this about",1
May I interrupt for a moment to respond to that,1
"Sorry, but I have to disagree with that point this",1
sounds good.,0
totally.,0
What if we consider it from another angle another resolve,1
oh.,0
got it.,0
mm-hm.,0
I got you.,0
okay.,0
I don’t think that’s how it works resolve it decision,1
understood.,0
"Wait, I just thought of something related to this and",1
May I interrupt for a moment to respond to that,1
oh.,0
"Actually, I have a different opinion on that because the",1
got it.,0
Let me interrupt you there and clarify one thing resolve,1
"Just a second, can I add something quickly resolve way",1
What if we consider it from another angle this way,1
got it.,0
"Hold on, let me jump in for a second before",1
I think what you're saying is not entirely correct because,1
"Just a second, can I add something quickly maybe decision",1
"Wait, I just thought of something related to this maybe",1
"Actually, I have a different opinion on that how we",1
"Hold on, let me jump in for a second making",1
"Actually, I have a different opinion on that it about",1
sounds good.,0
"Just a second, can I add something quickly a to",1
oh.,0
"Hold on, let me jump in for a second resolve",1
exactly.,0
yes.,0
right.,0
oh.,0
I don’t think that’s how it works another before from,1
mm-hm.,0
Let me interrupt you there and clarify one thing it,1
understood.,0
"Hold on, let me jump in for a second because",1
mhm.,0
I don’t think that’s how it works we how this,1
"Just a second, can I add something quickly about before",1
May I interrupt for a moment to respond to that,1
okay.,0
I don’t think that’s how it works about to how,1
alright.,0
"Sorry, but I have to disagree with that point to",1
I don’t think that’s how it works think should about,1
Let me interrupt you there and clarify one thing from,1
What if we consider it from another angle from because,1
sure.,0
right.,0
"Actually, I have a different opinion on that that resolve",1
May I interrupt for a moment to respond to that,1
"Just a second, can I add something quickly way because",1
hm.,0
hm.,0
exactly.,0
Let me interrupt you there and clarify one thing that,1
"Actually, I have a different opinion on that resolve that",1
hm.,0
sure.,0
I don’t think that’s how it works how decision resolve,1
Let me interrupt you there and clarify one thing the,1
alright.,0
I think what you're saying is not entirely correct because,1
Let me interrupt you there and clarify one thing think,1
got it.,0
hm.,0
May I interrupt for a moment to respond to that,1
"Wait, I just thought of something related to this and",1
alright.,0
